date,PERMNO,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX,Price,Open,High,Low,PRC_orcl,PRC_intc,PRC_infy,daily_return,log_volume,changeVolume01,changePrice01,changeVolume50,changePrice50,MovAvofV5days,Mov5Price,MovAvofV200days,MovAvof50daysPrice,percentile,rateofchange,sign,plus_minus,rateofchangePrice,signprice,money_flow_index,AO,KAMA,rsi,stochastic,TSI,ultimate,williamsR
2000-02-15,12490,,,,113.875,117.4375,117.125,5177500,0.009155,,,1802604,115.875,,0.009155,104.61,104.72,104.95,104.2,61.375,112.0,247.0,0.010787486515641875,15.459832872251877,0.13051463286875276,1.0625,,,2.7364253933789113,117.0125,,0.005893376259167082,0.8709677419354839,0.008514053321265314,1.0,-2.0,0.009154550350026991,1.0,43.188600273492085,0.3100806451612925,117.49724231221575,51.620461233044445,16.831683168316832,-24.618278702375395,55.620068523848296,-24.705882352941178
2000-02-16,12490,,,,115.25,117.3125,115.75,3966899,-0.01174,115.5,115.875,1802604,116.5,,-0.01174,104.14,104.54,104.73,104.11,61.25,107.1875,290.0,-0.006437768240343367,15.19349523912698,-0.26633763312489656,-1.375,,,2.7324813463892146,116.6875,,-0.005595909214074157,0.875,-0.017227717487356076,-1.0,-4.0,-0.011739594450373536,-1.0,43.29344376475356,-0.09921875000000568,117.46914637928624,48.9846302762575,38.613861386138616,-23.679825130049146,57.57791695167204,-37.64705882352941
2000-02-17,12490,,,,115.75,118.875,116.75,5237500,0.008639,,,1802604,116.5,,0.008639,104.22,104.18,104.57,103.6,61.625,110.0,298.125,0.0021459227467810482,15.47135484321253,0.27785960408555077,1.0,,,2.734609130610548,116.2125,,0.002834345137633365,0.8787878787878788,0.01828806339241762,1.0,-4.0,0.008639308855291628,1.0,50.4131546322421,-0.2590909090909008,117.46495720730644,50.94640224323304,46.53465346534654,-22.660606899910583,49.81345310715325,-28.235294117647058
2000-02-18,12490,,,,112.3125,115.9375,112.625,7672199,-0.035332,111.0,112.5,1802604,115.25,,-0.035332,104.52,104.25,104.83,104.1,58.5625,105.375,293.0,-0.022776572668112838,15.853113833686596,0.38175899047406503,-4.125,,,2.738348083265772,115.6625,,-0.030931273140203608,0.8823529411764706,0.024675213925530626,1.0,-2.0,-0.03533190578158463,-1.0,50.29822950696653,-0.7613970588235333,117.35955595447369,43.513182520621,-19.78021978021978,-22.21263606588478,45.4451684728838,-67.05882352941177
2000-02-22,12490,,,,108.75,113.4375,111.0,7654799,-0.014428,,,1802604,112.0,,-0.014428,103.11,104.31,104.16,102.92,59.3125,106.75,282.0,-0.008928571428571397,15.850843329381053,-0.002270504305542431,-1.625,,,2.7450715759145394,114.65,,-0.04267549519767788,0.8857142857142857,-0.00014322134625177618,-1.0,-2.0,-0.01442841287458374,-1.0,50.28061587746965,-1.5492647058823508,117.2154383724322,40.97679541003334,-82.41758241758242,-21.995081815160187,43.658775739220275,-79.54545454545455
2000-02-23,12490,,,,108.5,110.5,108.75,7435099,-0.02027,108.375,109.5625,1802604,110.5,,-0.02027,103.44,103.15,103.62,103.05,63.0625,109.0625,284.125,-0.015837104072398245,15.821722453187878,-0.029120876193175604,-2.25,,,2.7497106241850027,112.975,,-0.05907894610862763,0.8888888888888888,-0.0018371815043555229,-1.0,-4.0,-0.020270270270270285,-1.0,43.26891615022893,-2.6867647058823536,115.95972468348246,37.69999618998372,-23.18840579710145,-22.05147793474435,43.600490354553976,-97.77777777777777
2000-02-24,12490,,,,108.1875,111.0,110.8125,9111699,0.018966,110.8125,111.25,1802604,108.8125,,0.018966,103.99,103.39,104.4,103.36,61.9375,114.25,277.25,0.018380241240666173,16.02506975020094,0.20334729701306387,2.0625,,,2.760289701018559,111.9875,,-0.03922252787701508,0.8918918918918919,0.01285241209449306,1.0,-2.0,0.018965517241379404,1.0,43.14371524446608,-3.837683823529403,115.59762498837641,42.25824417389263,-26.81159420289855,-21.744780267254004,45.16291362656926,-77.29729729729729
2000-02-25,12490,,,,104.9375,109.875,105.75,10311000,-0.045685,,,1802604,109.875,,-0.045685,105.29,104.17,105.5,104.09,70.625,113.25,273.0,-0.03754266211604096,16.14872184450008,0.12365209429913904,-5.0625,,,2.7688250385967277,109.7875,,-0.07927496982157145,0.8947368421052632,0.007716165746959547,1.0,-2.0,-0.045685279187817285,-1.0,36.064154418049164,-5.559742647058826,113.90423428104026,35.409837108631,-53.37837837837838,-22.028355435178813,36.654051984608984,-94.51476793248945
2000-02-28,12490,,,,103.9375,106.5,104.5,8479899,-0.01182,,,1802604,104.625,,-0.01182,105.29,105.2,106.24,105.17,68.625,112.375,268.0,-0.0011947431302270495,15.953209097319798,-0.1955127471802829,-1.25,,,2.770080159357654,108.1625,,-0.08606749313342466,0.8974358974358975,-0.012107010639165305,-1.0,-2.0,-0.011820330969267157,-1.0,36.22536900608073,-7.074448529411768,112.51788716676988,33.946957341651164,-20.297029702970296,-22.415839130892685,36.62074699982981,-96.44268774703558
2000-02-29,12490,,,,100.9375,105.5625,102.75,10484800,-0.016746,101.625,102.0,1802604,105.5625,,-0.016746,105.88,105.6,106.18,104.77,74.25,113.0,270.25,-0.026642984014209614,16.16543714726737,0.21222804994757105,-1.75,,,2.7740147086936005,106.5125,,-0.09687430919747375,0.875,0.013303157292862577,1.0,0.0,-0.01674641148325362,-1.0,29.05745999118878,-8.227757352941168,110.65867682980763,31.956483792554096,-34.10138248847926,-22.948646910382735,35.038942098027185,-90.36544850498339
2000-03-01,12490,,,,100.0625,105.5,100.5,10807599,-0.021897999999999997,100.0,100.25,1802604,102.0,,-0.021897999999999997,104.89,106.16,106.16,104.63,71.5,115.875,283.0,-0.014705882352941124,16.19576005578731,0.030322908519941905,-2.25,,,2.778672651243058,104.8625,,-0.11160901484292385,0.8536585365853658,0.0018757864846894456,1.0,0.0,-0.021897810218978075,-1.0,29.267047195996085,-9.098161764705878,108.07258338782445,29.556860797137606,-39.908256880733944,-23.661879900914677,33.91524015452348,-97.74193548387096
2000-03-02,12490,,,,99.5,105.4375,103.25,11192399,0.027363,103.125,103.625,1802604,100.5,,0.027363,105.67,105.2,105.95,104.77,68.5,115.75,302.25,0.027363184079602032,16.230745445156607,0.03498538936929663,2.75,,,2.781224744099219,103.35,,-0.08344338019864483,0.8333333333333334,0.0021601573034415456,1.0,0.0,0.027363184079602032,1.0,28.84759834589704,-10.003860294117658,107.38893057410844,35.892995095605485,-50.80213903743316,-23.832215312675675,36.26631961195693,-81.19122257053291
2000-03-03,12490,,,,106.0625,110.0,109.0,10162299,0.055689999999999996,108.625,109.0,1802604,107.25,,0.055689999999999996,105.99,105.9,106.14,105.5,75.0,119.25,328.5,0.01631701631701632,16.13419525404482,-0.09655019111178831,5.75,,,2.781044706910379,104.0,,-0.03090042821058292,0.8372093023255814,-0.0059485986911710365,-1.0,0.0,0.0556900726392251,1.0,36.108756070083565,-9.57463235294118,107.47131391879769,46.69022515028014,5.347593582887701,-23.020229601994487,45.724191392511734,-50.96774193548387
2000-03-06,12490,,,,101.0,111.0,103.0625,10747399,-0.054472,102.75,104.0625,1802604,109.9375,,-0.054472,106.2,106.26,106.32,105.5,75.75,117.375,345.0,-0.06253553155201819,16.190174329774106,0.05597907572928662,-5.9375,,,2.783977525816955,103.7125,,-0.08004322472806757,0.8181818181818182,0.0034695920588447837,1.0,2.0,-0.054472477064220204,-1.0,36.21661694090031,-8.994669117647064,107.19099956426203,39.32485668899786,-37.967914438502675,-22.916087436043515,38.46921795789303,-81.61290322580645
